Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
26304,89.826164,3.388950,3.025350,3.208077,0.363600,3.384600,3.385800,3.387000,3.387300,3.385050,3.385650,3.386400,3.384450,3.386700,3.387450,3.388800,3.387750,3.388800,3.388950,3.031350,3.030300,3.032400,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.658777,23.644648,24.030834,24.107172,24.189539,23.803827,23.942591,23.644648,23.808954,24.122614,24.004297,24.380182,24.658777,23.901453,23.891169,23.901453,23.860346,24.297693,23.978571,0,0,0,0,0,0
26806,89.826759,3.388800,3.025500,3.208099,0.363300,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388800,3.031350,3.030150,3.032550,3.031800,3.035250,3.029550,3.028350,3.027150,3.027750,3.027000,3.025500,3.031050,3.028050,3.026100,24.658777,23.644648,24.031157,24.107172,24.189539,23.798700,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.901453,23.896326,23.901453,23.860346,24.297693,23.978571,0,0,0,0,0,0
27307,89.826614,3.388950,3.025350,3.208093,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031200,3.030300,3.032400,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.653620,23.644648,24.031475,24.107172,24.189539,23.798700,23.947718,23.644648,23.808954,24.122614,24.009424,24.385309,24.653620,23.901453,23.896326,23.901453,23.860346,24.297693,23.978571,0,0,0,0,0,0
27808,89.826302,3.388950,3.025500,3.208082,0.363450,3.384600,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387300,3.388800,3.387750,3.388650,3.388950,3.031350,3.030150,3.032400,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.026850,3.025500,3.031050,3.028050,3.026250,24.653620,23.644648,24.030190,24.102045,24.184381,23.803827,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.653620,23.901453,23.896326,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
28309,89.826164,3.388950,3.025350,3.208077,0.363600,3.384600,3.385800,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030150,3.032400,3.031800,3.035250,3.029400,3.028200,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.653620,23.644648,24.030832,24.107172,24.189539,23.803827,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.653620,23.901453,23.891169,23.901453,23.860346,24.297693,23.978571,0,0,0,0,0,0
28809,89.826012,3.388950,3.025350,3.208072,0.363600,3.384600,3.385800,3.387000,3.387300,3.385050,3.385650,3.386400,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030150,3.032400,3.031800,3.035250,3.029400,3.028200,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.658777,23.644648,24.031477,24.107172,24.189539,23.803827,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.901453,23.896326,23.901453,23.860346,24.297693,23.978571,0,0,0,0,0,0
29310,89.826157,3.388950,3.025350,3.208077,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030150,3.032400,3.031800,3.035250,3.029550,3.028200,3.027150,3.027750,3.027000,3.025350,3.031050,3.027900,3.026100,24.653620,23.649775,24.032761,24.107172,24.189539,23.803827,23.947718,23.649775,23.808954,24.122614,24.009424,24.385309,24.653620,23.901453,23.896326,23.906610,23.860346,24.302851,23.978571,0,0,0,0,0,0
29812,89.826004,3.388950,3.025350,3.208071,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030150,3.032400,3.031800,3.035250,3.029400,3.028200,3.027150,3.027750,3.027000,3.025350,3.031050,3.027900,3.026100,24.658777,23.644648,24.031155,24.107172,24.189539,23.798700,23.947718,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.901453,23.896326,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
30313,89.825706,3.388800,3.025350,3.208061,0.363450,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386400,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388800,3.031200,3.030300,3.032400,3.031800,3.035250,3.029400,3.028200,3.027150,3.027750,3.026850,3.025350,3.031050,3.028050,3.026100,24.658777,23.644648,24.032120,24.107172,24.189539,23.803827,23.947718,23.644648,23.808954,24.127771,24.004297,24.385309,24.658777,23.901453,23.896326,23.901453,23.860346,24.297693,23.978571,0,0,0,0,0,0
30814,89.825859,3.388950,3.025350,3.208066,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386400,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031200,3.030300,3.032400,3.031950,3.035250,3.029400,3.028200,3.027150,3.027600,3.026850,3.025350,3.031050,3.027900,3.026250,24.658777,23.644648,24.032120,24.107172,24.189539,23.803827,23.942591,23.644648,23.808954,24.127771,24.009424,24.385309,24.658777,23.906610,23.896326,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
