charger_voltage,charger_current,total_v,max_v,min_v,avg_v,max_temp,min_temp,avg_temp,max_min_balance
443.200012,3.900000,442.176910,3.951900,3.942300,3.948008,19.290216,16.482660,17.990576,0.009600
,,442.187134,3.952200,3.942900,3.948099,19.290216,16.482660,17.990576,0.009300
443.200012,3.900000,442.197937,3.952500,3.942750,3.948196,19.290216,16.487665,17.991671,0.009750
,,442.189453,3.952650,3.942300,3.948120,19.290216,16.487665,17.991987,0.010350
443.299988,3.900000,442.192505,3.952650,3.942150,3.948147,19.295252,16.487665,17.992619,0.010500
,,442.191895,3.952050,3.942300,3.948142,19.295252,16.487665,17.993166,0.009750
443.299988,3.900000,442.182312,3.951750,3.942300,3.948056,19.295252,16.487665,17.994188,0.009450
,,442.185913,3.951750,3.942450,3.948088,19.295252,16.487665,17.994425,0.009300
443.299988,3.900000,442.199097,3.951750,3.942450,3.948206,19.295252,16.487665,17.994818,0.009300
,,442.207184,3.952050,3.942450,3.948278,19.295252,16.487665,17.996000,0.009600
443.299988,3.900000,442.212646,3.952200,3.942750,3.948327,19.300318,16.487665,17.996313,0.009450
,,442.227264,3.952650,3.942900,3.948458,19.300318,16.487665,17.996552,0.009750
443.299988,3.900000,442.223175,3.952800,3.942600,3.948421,19.300318,16.492701,17.997417,0.010200
,,442.227631,3.952950,3.942450,3.948461,19.300318,16.492701,17.998911,0.010500
443.299988,3.900000,442.227142,3.952950,3.942450,3.948457,19.300318,16.492701,17.998911,0.010500
,,442.228943,3.952650,3.942750,3.948473,19.300318,16.492701,17.999695,0.009900
443.299988,3.900000,442.220734,3.952350,3.942750,3.948399,19.300318,16.492701,18.000561,0.009600
,,442.224548,3.952050,3.942750,3.948433,19.300318,16.492701,18.000954,0.009300
443.299988,3.900000,442.243347,3.952500,3.942900,3.948601,19.305353,16.492701,18.001425,0.009600
,,442.245819,3.952500,3.943050,3.948623,19.305353,16.492701,18.002052,0.009450
443.299988,3.900000,442.254242,3.952650,3.943500,3.948699,19.305353,16.497736,18.002445,0.009150
,,442.265137,3.953100,3.943500,3.948796,19.305353,16.497736,18.003550,0.009600
443.299988,3.900000,442.265442,3.953250,3.942900,3.948799,19.305353,16.497736,18.004023,0.010350
,,442.265442,3.953250,3.942900,3.948799,19.305353,16.497736,18.004335,0.010350
443.399994,3.900000,442.263153,3.953100,3.942750,3.948778,19.310389,16.497736,18.005278,0.010350
,,442.254028,3.952650,3.943050,3.948697,19.305353,16.497736,18.005672,0.009600
443.399994,3.900000,442.255310,3.952350,3.942900,3.948708,19.310389,16.497736,18.005987,0.009450
,,442.269531,3.952650,3.943050,3.948835,19.310389,16.497736,18.006693,0.009600
443.399994,3.900000,442.277588,3.952650,3.943200,3.948907,19.310389,16.497736,18.007244,0.009450
,,442.282410,3.952950,3.943350,3.948950,19.310389,16.497736,18.007952,0.009600
443.399994,3.900000,442.296753,3.953250,3.943650,3.949078,19.310389,16.502741,18.008657,0.009600
443.399994,3.900000,442.293701,3.953550,3.943200,3.949051,19.310389,16.497736,18.008974,0.010350
,,442.306580,3.953550,3.943500,3.949166,19.310389,16.502741,18.010624,0.010050
