Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
14263,98.804543,2.988750,2.979900,3.528734,0.008850,4.074000,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.986050,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.359552,19.905909,23.617722,25.710810,23.875757,26.954554,26.744684,27.343744,27.359552,24.927546,26.744684,19.931147,19.905909,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
14764,98.803795,2.988600,2.979900,3.528707,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988600,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.359552,19.910944,23.618349,25.705622,23.880884,26.954554,26.744684,27.343744,27.359552,24.927546,26.744684,19.936213,19.910944,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
15265,98.803635,2.988600,2.979900,3.528701,0.008700,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073100,4.072800,4.072950,2.986350,2.984250,2.985900,2.986200,2.988600,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.359552,19.910944,23.618011,25.705622,23.880884,26.954554,26.739435,27.343744,27.359552,24.927546,26.739435,19.936213,19.910944,20.537836,21.841516,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
15766,98.803940,2.988750,2.979900,3.528712,0.008850,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074450,4.072500,4.073100,4.073850,4.072500,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.359552,19.910944,23.617033,25.705622,23.880884,26.949274,26.739435,27.338465,27.359552,24.927546,26.739435,19.936213,19.910944,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
16267,98.803192,2.988600,2.979900,3.528685,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072350,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986350,2.988600,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.354273,19.910944,23.616692,25.705622,23.880884,26.949274,26.739435,27.338465,27.354273,24.927546,26.734186,19.936213,19.910944,20.542902,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
16768,98.803490,2.988600,2.979900,3.528696,0.008700,4.074000,4.074300,4.074150,4.073700,4.073850,4.074150,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984250,2.985900,2.986200,2.988600,2.983950,2.981250,2.981850,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.354273,19.910944,23.616375,25.705622,23.880884,26.949274,26.739435,27.338465,27.354273,24.927546,26.734186,19.931147,19.910944,20.542902,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
17269,98.803337,2.988600,2.979900,3.528691,0.008700,4.073850,4.074300,4.074000,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.982000,2.982750,2.981700,2.979900,2.986050,2.983350,2.982150,27.354273,19.916010,23.616047,25.705622,23.880884,26.949274,26.734186,27.338465,27.354273,24.927546,26.734186,19.931147,19.916010,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
17770,98.803185,2.988750,2.979900,3.528685,0.008850,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988750,2.983950,2.981100,2.981850,2.982750,2.981850,2.979900,2.986050,2.983200,2.982000,27.354273,19.910944,23.616350,25.700403,23.886042,26.949274,26.734186,27.333216,27.354273,24.927546,26.734186,19.936213,19.910944,20.537836,21.841516,21.181238,21.907648,20.922693,22.004328,0,0,0,0,0,0
18271,98.803185,2.988600,2.979900,3.528685,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.985900,2.986350,2.988600,2.983950,2.981250,2.981850,2.982750,2.981850,2.979900,2.985900,2.983200,2.982150,27.349024,19.910944,23.616341,25.700403,23.886042,26.944025,26.734186,27.338465,27.349024,24.927546,26.734186,19.936213,19.910944,20.542902,21.841516,21.186335,21.907648,20.917627,22.004328,0,0,0,0,0,0
18771,98.803635,2.988750,2.979900,3.528701,0.008850,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986200,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.985900,2.983200,2.982150,27.349024,19.916010,23.615059,25.700403,23.886042,26.944025,26.734186,27.333216,27.349024,24.927546,26.734186,19.931147,19.916010,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
