Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
23782,97.589409,3.486450,3.483900,3.485336,0.002550,3.485400,3.485850,3.485550,3.485400,3.485400,3.485700,3.486450,3.484350,3.485250,3.485100,3.486150,3.483900,3.485550,3.485400,3.485400,3.484950,3.485400,3.485550,3.485700,3.484950,3.484350,3.485250,3.485550,3.485550,3.485100,3.485250,3.486450,3.484500,20.077662,19.471796,19.885122,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.850336,20.077662,,,,,,,19.703913,0,0,0,0,0,0
24283,97.587448,3.486450,3.483900,3.485266,0.002550,3.485250,3.485850,3.485400,3.485250,3.485250,3.485700,3.486450,3.484200,3.485100,3.484950,3.486000,3.483900,3.485550,3.485400,3.485400,3.484800,3.485250,3.485550,3.485700,3.484950,3.484350,3.485100,3.485400,3.485400,3.485100,3.485250,3.486450,3.484500,20.077662,19.471796,19.885439,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
24784,97.585640,3.486300,3.483750,3.485201,0.002550,3.485250,3.485850,3.485400,3.485250,3.485250,3.485550,3.486300,3.484200,3.485100,3.484950,3.486000,3.483750,3.485550,3.485250,3.485400,3.484800,3.485250,3.485400,3.485550,3.484800,3.484200,3.485100,3.485400,3.485400,3.484950,3.485100,3.486300,3.484350,20.077662,19.476831,19.885754,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
25285,97.584137,3.486300,3.483600,3.485148,0.002700,3.485250,3.485700,3.485250,3.485100,3.485100,3.485550,3.486300,3.484200,3.485100,3.484950,3.485850,3.483600,3.485400,3.485250,3.485250,3.484800,3.485250,3.485400,3.485550,3.484650,3.484200,3.485100,3.485250,3.485400,3.484950,3.485100,3.486300,3.484350,20.077662,19.471796,19.885439,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
25786,97.583549,3.486300,3.483750,3.485127,0.002550,3.485100,3.485700,3.485250,3.485100,3.485100,3.485550,3.486300,3.484200,3.484950,3.484950,3.485850,3.483750,3.485400,3.485250,3.485250,3.484650,3.485100,3.485400,3.485550,3.484650,3.484200,3.485100,3.485250,3.485250,3.484950,3.485100,3.486300,3.484350,20.077662,19.471796,19.884808,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.850336,20.077662,,,,,,,19.698877,0,0,0,0,0,0
26287,97.582054,3.486150,3.483600,3.485073,0.002550,3.485100,3.485700,3.485250,3.485100,3.485100,3.485400,3.486150,3.484050,3.485100,3.484800,3.485850,3.483600,3.485400,3.485250,3.485100,3.484650,3.485100,3.485250,3.485400,3.484650,3.484200,3.484950,3.485250,3.485250,3.484800,3.485100,3.486150,3.484350,20.072626,19.476831,19.885122,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.072626,,,,,,,19.703913,0,0,0,0,0,0
26788,97.580696,3.486150,3.483600,3.485025,0.002550,3.485100,3.485550,3.485100,3.484950,3.485100,3.485400,3.486150,3.484050,3.484950,3.484800,3.485700,3.483600,3.485400,3.485100,3.485100,3.484650,3.485100,3.485250,3.485400,3.484650,3.484050,3.484950,3.485250,3.485250,3.484650,3.485100,3.486150,3.484200,20.077662,19.471796,19.885124,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.850336,20.077662,,,,,,,19.703913,0,0,0,0,0,0
27289,97.578903,3.486150,3.483450,3.484961,0.002700,3.484950,3.485550,3.485100,3.484950,3.485100,3.485400,3.486150,3.484050,3.484950,3.484650,3.485700,3.483450,3.485250,3.484950,3.484950,3.484650,3.484950,3.485250,3.485400,3.484500,3.483900,3.484800,3.485100,3.485100,3.484800,3.484950,3.486150,3.484200,20.077662,19.476831,19.884806,20.052393,19.562616,20.032190,20.006922,19.931147,19.956415,19.850336,20.077662,,,,,,,19.703913,0,0,0,0,0,0
27790,97.577850,3.486150,3.483450,3.484923,0.002700,3.484950,3.485550,3.485100,3.484950,3.484950,3.485400,3.486000,3.483900,3.484800,3.484650,3.485700,3.483450,3.485250,3.485100,3.484950,3.484500,3.484950,3.485100,3.485250,3.484500,3.483900,3.484800,3.485100,3.485100,3.484650,3.484950,3.486150,3.484200,20.072626,19.476831,19.884806,20.052393,19.562616,20.032190,20.006922,19.936213,19.951349,19.850336,20.072626,,,,,,,19.703913,0,0,0,0,0,0
28291,97.577400,3.486150,3.483450,3.484907,0.002700,3.484950,3.485550,3.485100,3.484950,3.484950,3.485250,3.486150,3.483900,3.484800,3.484650,3.485700,3.483450,3.485250,3.484950,3.484950,3.484500,3.484950,3.485100,3.485250,3.484500,3.483900,3.484800,3.485100,3.485100,3.484650,3.484800,3.486000,3.484200,20.072626,19.476831,19.884491,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.850336,20.072626,,,,,,,19.703913,0,0,0,0,0,0
