"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.279981608E1,-2.210806657E-2,-5.130198092E-2,-4.293785870E-2
1.284966308E1,7.139084861E-2,2.811392449E-2,-7.780246675E-2
1.289951008E1,-5.951149911E-2,6.897190117E-2,3.983708024E-2
1.294935808E1,-4.477037609E-2,-5.971304532E-2,-8.781465411E-2
1.299920508E1,5.939132055E-2,-3.953841543E-3,2.519272864E-2
1.304905208E1,-6.190545883E-2,1.452260161E-2,-1.511622190E-1
1.309890008E1,-6.562580461E-2,3.401825099E-2,-3.290169775E-2
1.314874708E1,9.733710062E-2,4.449800547E-2,1.266758341E-1
1.319859896E1,-3.352208734E-2,-6.079853523E-2,-2.226976401E-1
1.324844596E1,-9.458017498E-3,-2.468566541E-3,-5.865575910E-2
1.329829296E1,7.974275563E-2,5.639326123E-2,6.212198853E-2
1.334814096E1,1.969102130E-1,6.131846233E-2,-6.433328855E-1
1.339798796E1,-3.701841897E-1,-9.674771955E-2,4.773701942E-1
1.344783596E1,-8.073725738E-2,3.235696566E-2,3.244228202E-1
1.349768296E1,2.519349609E-2,-2.839604351E-2,-2.192588925E-1
1.354753096E1,-4.630629346E-2,7.496678643E-4,2.882735789E-2
1.359737796E1,6.455574587E-2,1.590003203E-2,1.227599537E-1
1.364722596E1,-1.503814513E-1,8.913888400E-2,1.834552217E-1
1.369707296E1,-1.720283918E-1,-1.370906662E-1,5.150905824E-1
1.374692096E1,-1.876429975E-2,1.200956791E-1,-7.248793244E-3
1.379676896E1,3.057090623E-2,-1.938089321E-2,-1.162905943E-1
1.384661596E1,-2.906733493E-1,1.365418045E-1,7.419806761E-1
1.389646396E1,-4.897599325E-1,-4.110329479E-2,1.681413639E-1
1.394631196E1,-4.078772787E-2,7.467088991E-2,-8.492729902E-2
1.399615896E1,-1.119651166E-1,-3.073047583E-2,-1.454576755E-1
1.404600696E1,-8.829617232E-2,4.484968352E-2,1.309016168E-1
1.409585496E1,3.528971890E-2,-2.491468897E-2,-4.212731767E-1
1.414570196E1,3.496072166E-2,-1.471418015E-2,-1.153714120E-1
1.419554671E1,-1.214709350E-1,4.573488344E-2,5.641925758E-1
1.424539471E1,-2.603937257E-1,-1.344310510E-2,8.795639062E-1
1.429524171E1,-5.280938398E-2,2.971568699E-2,5.265300751E-2
1.434508971E1,-2.896774954E-1,2.457371864E-2,-5.836012387E-1
